env,shift_level,norm_score_mean_base,norm_score_mean_prop,norm_score_mean_diff,norm_score_mean_improve_%
halfcheetah-friction,0.1,8.55,6.62,-1.93,-22.6
halfcheetah-friction,0.5,57.64,63.16,5.52,9.58
halfcheetah-friction,2.0,42.28,45.25,2.97,7.03
halfcheetah-friction,5.0,43.86,55.97,12.11,27.62
hopper-friction,0.1,29.77,29.13,-0.64,-2.16
hopper-friction,0.5,28.44,26.14,-2.3,-8.1
hopper-friction,2.0,10.16,10.15,-0.01,-0.15
hopper-friction,5.0,8.22,8.21,-0.0,-0.02
walker2d-friction,0.1,13.99,19.56,5.56,39.76
walker2d-friction,0.5,71.18,74.67,3.49,4.9
walker2d-friction,2.0,57.52,61.52,4.01,6.97
walker2d-friction,5.0,19.17,19.92,0.76,3.95
